2021-07-08T06:04:30.465Z [jfrt ] [INFO ] [869dbc409a684ff0] [ifactoryApplicationContext:937] [art-exec-4          ] - Note: the etc exported folder has excessive permissions. Be careful with the files.
2021-07-08T06:04:30.469Z [jfrt ] [INFO ] [869dbc409a684ff0] [a.s.u.SignedUrlServiceImpl:295] [art-exec-4          ] - Exporting URL signing key...
2021-07-08T06:04:30.483Z [jfrt ] [INFO ] [869dbc409a684ff0] [r.s.RepositoryServiceImpl:1084] [art-exec-4          ] - Exporting repositories...
2021-07-08T06:04:30.487Z [jfrt ] [INFO ] [869dbc409a684ff0] [a.r.d.i.DbRepoExportHandler:80] [art-exec-4          ] - artifactory-build-info export started with 1 nodes to: '/opt/jfrog/artifactory/var/backup/artifactory/backup-daily/current/repositories/artifactory-build-info'
2021-07-08T06:04:30.496Z [jfrt ] [INFO ] [869dbc409a684ff0] [a.r.d.i.DbRepoExportHandler:90] [art-exec-4          ] - artifactory-build-info export finished with: 1 Items exported (0 files and 1 folders), 0 Item skipped: (0 files and 0 folders).Duration: 12.28 millis IPS: 81.42 Target: '/opt/jfrog/artifactory/var/backup/artifactory/backup-daily/current/repositories/artifactory-build-info'
2021-07-08T06:04:30.497Z [jfrt ] [INFO ] [869dbc409a684ff0] [a.r.d.i.DbRepoExportHandler:80] [art-exec-4          ] - docker export started with 1 nodes to: '/opt/jfrog/artifactory/var/backup/artifactory/backup-daily/current/repositories/docker'
2021-07-08T06:04:30.506Z [jfrt ] [INFO ] [869dbc409a684ff0] [a.r.d.i.DbRepoExportHandler:90] [art-exec-4          ] - docker export finished with: 1 Items exported (0 files and 1 folders), 0 Item skipped: (0 files and 0 folders).Duration: 8.08 millis IPS: 123.7 Target: '/opt/jfrog/artifactory/var/backup/artifactory/backup-daily/current/repositories/docker'
2021-07-08T06:04:30.508Z [jfrt ] [INFO ] [869dbc409a684ff0] [a.r.d.i.DbRepoExportHandler:80] [art-exec-4          ] - example-repo-local export started with 1 nodes to: '/opt/jfrog/artifactory/var/backup/artifactory/backup-daily/current/repositories/example-repo-local'
2021-07-08T06:04:30.513Z [jfrt ] [INFO ] [869dbc409a684ff0] [a.r.d.i.DbRepoExportHandler:90] [art-exec-4          ] - example-repo-local export finished with: 1 Items exported (0 files and 1 folders), 0 Item skipped: (0 files and 0 folders).Duration: 5.78 millis IPS: 172.98 Target: '/opt/jfrog/artifactory/var/backup/artifactory/backup-daily/current/repositories/example-repo-local'
2021-07-08T06:04:30.516Z [jfrt ] [INFO ] [869dbc409a684ff0] [a.r.d.i.DbRepoExportHandler:80] [art-exec-4          ] - libs-release-local export started with 8 nodes to: '/opt/jfrog/artifactory/var/backup/artifactory/backup-daily/current/repositories/libs-release-local'
2021-07-08T06:04:30.627Z [jfrt ] [INFO ] [869dbc409a684ff0] [a.r.d.i.DbRepoExportHandler:90] [art-exec-4          ] - libs-release-local export finished with: 8 Items exported (3 files and 5 folders), 0 Item skipped: (0 files and 0 folders).Duration: 112.28 millis IPS: 71.25 Target: '/opt/jfrog/artifactory/var/backup/artifactory/backup-daily/current/repositories/libs-release-local'
2021-07-08T06:04:30.629Z [jfrt ] [INFO ] [869dbc409a684ff0] [a.r.d.i.DbRepoExportHandler:80] [art-exec-4          ] - libs-snapshot-local export started with 1 nodes to: '/opt/jfrog/artifactory/var/backup/artifactory/backup-daily/current/repositories/libs-snapshot-local'
2021-07-08T06:04:30.644Z [jfrt ] [INFO ] [869dbc409a684ff0] [a.r.d.i.DbRepoExportHandler:90] [art-exec-4          ] - libs-snapshot-local export finished with: 1 Items exported (0 files and 1 folders), 0 Item skipped: (0 files and 0 folders).Duration: 15.34 millis IPS: 65.2 Target: '/opt/jfrog/artifactory/var/backup/artifactory/backup-daily/current/repositories/libs-snapshot-local'
2021-07-08T06:04:30.645Z [jfrt ] [INFO ] [869dbc409a684ff0] [a.r.d.i.DbRepoExportHandler:80] [art-exec-4          ] - maven export started with 1 nodes to: '/opt/jfrog/artifactory/var/backup/artifactory/backup-daily/current/repositories/maven'
2021-07-08T06:04:30.658Z [jfrt ] [INFO ] [869dbc409a684ff0] [a.r.d.i.DbRepoExportHandler:90] [art-exec-4          ] - maven export finished with: 1 Items exported (0 files and 1 folders), 0 Item skipped: (0 files and 0 folders).Duration: 12.55 millis IPS: 79.65 Target: '/opt/jfrog/artifactory/var/backup/artifactory/backup-daily/current/repositories/maven'
2021-07-08T06:04:30.660Z [jfrt ] [INFO ] [869dbc409a684ff0] [ifactoryApplicationContext:839] [art-exec-4          ] - Full system export completed successfully.
2021-07-08T07:52:44.225Z [jfrt ] [INFO ] [8caf053e9b59254f] [a.e.EventsLogCleanUpService:69] [art-exec-4          ] - Starting cleanup of old events from event log
2021-07-08T07:52:44.229Z [jfrt ] [INFO ] [8caf053e9b59254f] [.e.EventsLogCleanUpService:105] [art-exec-4          ] - Cleanup of old events from event log finished
2021-07-08T08:00:00.000Z [jfrt ] [INFO ] [ba47d3db50a80514] [.s.d.b.s.BinaryServiceImpl:670] [art-exec-11         ] - Triggering Garbage Collection
2021-07-08T08:00:00.001Z [jfrt ] [INFO ] [ba47d3db50a80514] [.s.d.b.s.g.GarbageCollector:66] [art-exec-11         ] - Starting GC strategy 'TRASH_AND_BINARIES'
2021-07-08T08:00:00.003Z [jfrt ] [INFO ] [ba47d3db50a80514] [.s.d.b.s.g.GarbageCollector:68] [art-exec-11         ] - Finished GC Strategy 'TRASH_AND_BINARIES'
2021-07-08T08:08:43.778Z [jfrt ] [INFO ] [                ] [ifactoryApplicationContext:560] [ocalhost-startStop-5] - Artifactory application context set to NOT READY by destroy
2021-07-08T08:08:43.886Z [jfrt ] [INFO ] [                ] [o.j.c.w.FileWatcher:218       ] [Thread-6            ] - Watch service ended on destroy
2021-07-08T08:08:43.886Z [jfrt ] [INFO ] [                ] [o.j.c.w.FileWatcher:225       ] [Thread-6            ] - End watch of folder configurations
2021-07-08T08:08:43.923Z [jfrt ] [INFO ] [                ] [ifactoryApplicationContext:377] [ocalhost-startStop-5] - Destroying 49 Artifactory Spring Beans
2021-07-08T08:08:43.941Z [jfrt ] [INFO ] [                ] [askServiceDescriptorHandler:44] [ocalhost-startStop-5] - Removing all job Backup from task service handler.
2021-07-08T08:08:43.952Z [jfrt ] [INFO ] [                ] [askServiceDescriptorHandler:44] [ocalhost-startStop-5] - Removing all job Garbage Collector from task service handler.
2021-07-08T08:08:43.957Z [jfrt ] [INFO ] [                ] [o.a.m.f.MetricsServiceImpl:260] [ocalhost-startStop-5] - Stopped metric service.
2021-07-08T08:08:43.958Z [jfrt ] [INFO ] [                ] [askServiceDescriptorHandler:44] [ocalhost-startStop-5] - Removing all job Artifact Cleanup from task service handler.
2021-07-08T08:08:43.965Z [jfrt ] [INFO ] [                ] [askServiceDescriptorHandler:44] [ocalhost-startStop-5] - Removing all job Indexer from task service handler.
2021-07-08T08:08:43.976Z [jfrt ] [INFO ] [                ] [.w.NodeEventTaskManagerImpl:59] [ocalhost-startStop-5] - Removing dispatcher thread for operator 'metadata-operator-events'
2021-07-08T08:08:43.978Z [jfrt ] [INFO ] [                ] [.j.a.c.g.GrpcStreamObserver:76] [default-executor-192] - affected platform config stream stopped gracefully - immediate cache invalidation will not work without restart
2021-07-08T08:08:43.979Z [jfrt ] [INFO ] [                ] [.j.a.c.g.GrpcStreamObserver:76] [default-executor-192] - affected permissions stream stopped gracefully - immediate cache invalidation will not work without restart
2021-07-08T08:08:46.035Z [jfrt ] [WARN ] [                ] [.j.a.c.g.GrpcStreamObserver:88] [default-executor-192] - refreshing affected permissions stream - target server is unavailable
2021-07-08T08:08:46.036Z [jfrt ] [WARN ] [                ] [.j.a.c.g.GrpcStreamObserver:88] [default-executor-189] - refreshing affected permissions stream - target server is unavailable
2021-07-08T08:08:46.035Z [jfrt ] [WARN ] [                ] [.j.a.c.g.GrpcStreamObserver:88] [default-executor-173] - refreshing affected platform config stream - target server is unavailable
2021-07-08T08:08:46.036Z [jfrt ] [WARN ] [                ] [.j.a.c.g.GrpcStreamObserver:88] [default-executor-192] - refreshing affected platform config stream - target server is unavailable
2021-07-08T08:08:46.078Z [jfrt ] [INFO ] [                ] [actorySchedulerFactoryBean:845] [ocalhost-startStop-5] - Shutting down Quartz Scheduler
2021-07-08T08:08:46.079Z [jfrt ] [INFO ] [                ] [a.e.ShiftEventsServiceImpl:143] [ocalhost-startStop-5] - Shutdown terminated: true
2021-07-08T08:08:46.080Z [jfrt ] [WARN ] [                ] [c.z.h.u.DriverDataSource:70   ] [ocalhost-startStop-5] - Registered driver with driverClassName=org.apache.derby.jdbc.EmbeddedDriver was not found, trying direct instantiation.
