2021-06-25T06:05:52.710Z [jfrt ] [INFO ] [1ca68f83f0600d8d] [a.r.d.i.DbRepoExportHandler:90] [art-exec-5          ] - libs-snapshot-local export finished with: 1 Items exported (0 files and 1 folders), 0 Item skipped: (0 files and 0 folders).Duration: 10.61 millis IPS: 94.24 Target: '/opt/jfrog/artifactory/var/backup/artifactory/backup-daily/current/repositories/libs-snapshot-local'
2021-06-25T06:05:52.711Z [jfrt ] [INFO ] [1ca68f83f0600d8d] [a.r.d.i.DbRepoExportHandler:80] [art-exec-5          ] - maven export started with 1 nodes to: '/opt/jfrog/artifactory/var/backup/artifactory/backup-daily/current/repositories/maven'
2021-06-25T06:05:52.718Z [jfrt ] [INFO ] [1ca68f83f0600d8d] [a.r.d.i.DbRepoExportHandler:90] [art-exec-5          ] - maven export finished with: 1 Items exported (0 files and 1 folders), 0 Item skipped: (0 files and 0 folders).Duration: 6.58 millis IPS: 152.08 Target: '/opt/jfrog/artifactory/var/backup/artifactory/backup-daily/current/repositories/maven'
2021-06-25T06:05:52.719Z [jfrt ] [INFO ] [1ca68f83f0600d8d] [ifactoryApplicationContext:839] [art-exec-5          ] - Full system export completed successfully.
2021-06-25T06:05:53.110Z [jfrt ] [WARN ] [                ] [.j.a.c.g.GrpcStreamObserver:88] [-default-executor-62] - refreshing affected permissions stream - target server is unavailable
2021-06-25T06:05:53.111Z [jfrt ] [WARN ] [                ] [.j.a.c.g.GrpcStreamObserver:88] [-default-executor-60] - refreshing affected platform config stream - target server is unavailable
2021-06-25T06:05:53.112Z [jfrt ] [WARN ] [                ] [.j.a.c.g.GrpcStreamObserver:88] [-default-executor-57] - refreshing affected platform config stream - target server is unavailable
2021-06-25T06:05:53.114Z [jfrt ] [WARN ] [                ] [.j.a.c.g.GrpcStreamObserver:88] [-default-executor-61] - refreshing affected permissions stream - target server is unavailable
2021-06-25T06:05:53.166Z [jfrt ] [INFO ] [                ] [ectedEntitiesStreamObserver:35] [Stream_1624471401940] - publishing full invalidation and attempting to resubscribe to affected permissions changes
2021-06-25T06:05:53.172Z [jfrt ] [INFO ] [                ] [ffectedConfigStreamObserver:32] [Stream_1624471398668] - publishing full invalidation and attempting to resubscribe to affected configuration changes
2021-06-25T08:00:00.001Z [jfrt ] [INFO ] [608722d6f627d5eb] [.s.d.b.s.BinaryServiceImpl:670] [art-exec-4          ] - Triggering Garbage Collection
2021-06-25T08:00:00.001Z [jfrt ] [INFO ] [608722d6f627d5eb] [.s.d.b.s.g.GarbageCollector:66] [art-exec-4          ] - Starting GC strategy 'TRASH_AND_BINARIES'
2021-06-25T08:00:00.002Z [jfrt ] [INFO ] [608722d6f627d5eb] [.s.d.b.s.g.GarbageCollector:68] [art-exec-4          ] - Finished GC Strategy 'TRASH_AND_BINARIES'
2021-06-25T09:03:51.995Z [jfrt ] [INFO ] [b7746ebefc004b88] [a.e.EventsLogCleanUpService:69] [art-exec-5          ] - Starting cleanup of old events from event log
2021-06-25T09:03:51.997Z [jfrt ] [INFO ] [b7746ebefc004b88] [.e.EventsLogCleanUpService:105] [art-exec-5          ] - Cleanup of old events from event log finished
2021-06-25T12:00:00.038Z [jfrt ] [INFO ] [c6b8d43f2f707f8f] [.s.d.b.s.BinaryServiceImpl:670] [art-exec-2          ] - Triggering Garbage Collection
2021-06-25T12:00:00.038Z [jfrt ] [INFO ] [c6b8d43f2f707f8f] [.s.d.b.s.g.GarbageCollector:66] [art-exec-2          ] - Starting GC strategy 'TRASH_AND_BINARIES'
2021-06-25T12:00:00.039Z [jfrt ] [INFO ] [c6b8d43f2f707f8f] [.s.d.b.s.g.GarbageCollector:68] [art-exec-2          ] - Finished GC Strategy 'TRASH_AND_BINARIES'
2021-06-25T16:00:00.002Z [jfrt ] [INFO ] [fb065843be894104] [.s.d.b.s.BinaryServiceImpl:670] [art-exec-1          ] - Triggering Garbage Collection
2021-06-25T16:00:00.002Z [jfrt ] [INFO ] [fb065843be894104] [.s.d.b.s.g.GarbageCollector:66] [art-exec-1          ] - Starting GC strategy 'TRASH_AND_BINARIES'
2021-06-25T16:00:00.003Z [jfrt ] [INFO ] [fb065843be894104] [.s.d.b.s.g.GarbageCollector:68] [art-exec-1          ] - Finished GC Strategy 'TRASH_AND_BINARIES'
2021-06-25T18:03:21.436Z [jfrt ] [INFO ] [bfdea2a5a5981241] [adsFolderCleanupServiceImpl:52] [art-exec-10         ] - Starting docker temp folder cleanup
2021-06-25T18:03:21.437Z [jfrt ] [INFO ] [bfdea2a5a5981241] [adsFolderCleanupServiceImpl:54] [art-exec-10         ] - Docker temp folder cleanup finished, time took: 1 millis
2021-06-25T18:50:57.876Z [jfrt ] [INFO ] [                ] [ectedEntitiesStreamObserver:35] [Stream_1624471401940] - publishing full invalidation and attempting to resubscribe to affected permissions changes
2021-06-25T18:50:57.906Z [jfrt ] [INFO ] [                ] [ffectedConfigStreamObserver:32] [Stream_1624471398668] - publishing full invalidation and attempting to resubscribe to affected configuration changes
2021-06-25T18:50:59.900Z [jfrt ] [WARN ] [                ] [.j.a.c.g.GrpcStreamObserver:88] [default-executor-116] - refreshing affected platform config stream - target server is unavailable
2021-06-25T18:50:59.900Z [jfrt ] [WARN ] [                ] [.j.a.c.g.GrpcStreamObserver:88] [default-executor-128] - refreshing affected permissions stream - target server is unavailable
2021-06-25T18:50:59.901Z [jfrt ] [WARN ] [                ] [.j.a.c.g.GrpcStreamObserver:88] [default-executor-125] - refreshing affected permissions stream - target server is unavailable
2021-06-25T18:50:59.900Z [jfrt ] [WARN ] [                ] [.j.a.c.g.GrpcStreamObserver:88] [default-executor-123] - refreshing affected platform config stream - target server is unavailable
2021-06-25T18:51:00.079Z [jfrt ] [INFO ] [                ] [ectedEntitiesStreamObserver:35] [Stream_1624471401940] - publishing full invalidation and attempting to resubscribe to affected permissions changes
2021-06-25T18:51:00.079Z [jfrt ] [INFO ] [                ] [ffectedConfigStreamObserver:32] [Stream_1624471398668] - publishing full invalidation and attempting to resubscribe to affected configuration changes
